Month,Lenght
0,48.5
0,50.5
0,50.5
0,52.0
0,47.5
0,49.0
0,45.5
0,48.5
0,50.0
0,47.5
0,49.5
0,49.0
0,49.5
0,48.5
0,48.5
0,49.0
0,50.0
0,48.0
0,49.5
0,49.5
0,51.5
0,49.0
0,48.5
0,53.0
0,45.5
0,51.5
0,51.0
0,47.5
0,51.5
0,50.0
0,48.5
0,47.0
0,50.5
0,48.0
0,47.0
0,48.5
0,48.5
0,49.5
0,49.0
0,51.5
0,50.5
0,49.0
0,47.5
0,51.5
0,51.0
0,54.5
0,50.0
0,52.5
1,51.5
1,52.0
1,51.5
1,54.0
1,55.0
1,55.5
1,55.5
1,55.5
1,53.5
1,52.5
1,51.0
1,56.0
1,53.5
1,53.0
1,56.0
1,52.0
1,55.5
1,54.5
1,52.0
1,54.0
1,56.0
1,55.5
1,57.0
1,54.5
1,60.5
1,52.0
1,53.0
1,54.0
1,51.0
1,56.0
1,55.5
1,54.0
1,53.0
2,54.5
2,60.5
2,59.0
2,58.0
2,59.0
2,56.0
2,56.5
2,54.5
2,57.0
2,59.5
2,57.0
2,55.5
2,56.5
2,59.0
2,57.0
2,59.0
2,54.5
2,55.5
2,56.5
2,54.5
2,63.5
2,55.0
2,59.0
2,56.0
2,56.5
2,58.0
2,54.5
2,56.0
2,57.0
2,55.5
2,55.5
2,59.5
2,59.5
2,56.5
2,57.0
2,60.0
2,54.5
2,58.0
2,61.5
2,61.5
2,53.5
2,56.0
2,57.5
2,54.5
2,56.0
2,57.0
2,60.0
2,57.0
2,58.0
2,58.5
2,58.5
2,57.5
3,57.5
3,60.5
3,59.0
3,57.0
3,60.0
3,58.0
3,61.0
3,58.0
3,63.5
3,58.5
3,59.5
3,62.0
3,57.5
3,60.5
3,63.0
3,56.5
3,60.5
3,60.5
3,61.5
3,57.5
3,57.5
3,61.0
3,60.5
3,60.5
3,61.0
4,64.0
4,64.5
4,58.5
4,65.0
4,60.0
4,60.0
4,56.0
4,60.5
4,62.5
4,61.5
4,61.5
4,60.0
4,64.0
4,64.5
4,63.0
4,58.5
4,67.5
4,62.5
4,63.5
4,59.0
4,62.5
4,63.0
4,62.0
4,64.0
4,65.0
4,59.5
4,64.0
4,63.0
4,62.5
4,59.0
4,65.5
4,63.0
4,58.5
5,63.5
5,64.0
5,66.0
5,63.5
5,66.0
5,66.5
5,63.5
5,62.0
5,63.0
5,66.0
5,64.5
5,65.5
5,68.0
5,65.0
5,62.5
6,63.0
6,64.5
6,63.5
6,63.5
6,67.0
6,70.0
6,64.5
6,62.0
6,67.5
6,62.5
6,63.5
6,67.0
6,65.5
6,64.5
6,66.0
6,65.0
6,70.5
6,64.5
6,64.0
6,65.0
6,65.0
6,67.5
6,61.5
6,67.0
6,65.0
6,67.5
6,66.0
6,67.0
6,65.0
6,67.0
6,70.0
7,66.0
7,63.0
7,68.0
7,66.0
7,69.5
7,65.5
7,67.5
7,68.5
7,69.5
7,65.0
7,67.0
7,66.5
7,66.0
7,71.5
7,68.5
7,64.5
7,69.5
7,72.5
7,70.0
7,64.0
7,66.5
7,70.5
7,66.0
7,68.5
7,69.5
7,65.5
7,67.5
7,60.0
7,65.0
7,67.0
7,64.5
7,71.5
7,64.0
7,66.5
7,68.0
7,71.0
7,64.0
7,70.0
7,67.5
7,65.5
7,68.5
7,68.0
7,66.0
7,67.5
7,66.5
7,68.0
7,69.0
7,71.0
7,64.5
8,70.0
8,70.0
8,71.5
8,70.0
8,66.5
8,70.5
8,67.0
8,67.5
8,68.0
8,68.5
8,65.5
8,71.5
8,66.5
8,72.5
8,66.5
8,72.0
8,69.0
8,65.0
8,66.5
8,72.0
8,70.0
8,69.0
8,64.0
8,72.5
8,73.5
8,73.0
8,67.5
8,70.0
8,70.0
8,65.5
8,69.5
8,71.5
8,71.0
8,66.5
8,67.0
8,71.0
8,70.5
8,63.5
8,63.0
8,69.0
8,67.5
8,68.5
9,69.5
9,69.0
9,75.0
9,73.0
9,66.0
9,69.5
9,73.5
9,67.5
9,72.5
9,72.0
9,68.5
9,70.5
9,65.5
9,74.5
9,69.5
9,72.5
9,72.0
9,73.5
9,69.5
9,71.0
9,71.5
9,72.5
9,73.0
9,69.0
9,69.0
9,73.5
9,65.5
9,74.0
9,69.5
9,70.5
9,68.5
9,70.5
9,73.5
9,72.5
9,71.5
9,70.5
9,67.0
9,68.5
9,69.5
9,71.5
9,70.5
9,73.0
9,71.5
9,70.5
9,76.0
10,72.5
10,69.5
10,75.5
10,72.5
10,72.0
10,69.5
10,71.0
10,69.5
10,70.5
10,68.5
10,75.5
10,70.0
10,69.5
10,68.5
10,70.0
10,70.5
10,71.5
10,70.0
10,68.0
10,68.0
10,73.5
10,71.5
10,73.5
11,69.5
11,77.5
11,76.0
11,72.0
11,68.5
11,76.5
11,72.5
11,76.0
11,69.0
11,71.5
11,73.0
11,73.0
11,72.0
11,74.5
12,72.5
12,72.5
12,72.0
12,72.5
12,75.0
12,75.5
12,74.5
12,73.0
12,77.5
12,74.0
12,76.5
12,73.0
12,75.5
12,77.5
12,67.5
12,72.5
12,76.0
12,77.5
12,75.0
12,74.5
12,78.5
12,77.5
12,72.0
13,76.0
13,76.0
13,70.0
13,74.0
13,79.0
13,78.0
13,76.5
13,75.5
13,77.5
13,74.5
13,71.0
13,75.5
13,76.5
13,78.5
13,71.5
13,75.0
13,75.5
13,72.5
13,76.5
13,77.5
13,74.5
13,81.0
13,74.5
13,74.5
13,74.0
13,73.5
13,74.0
13,71.5
13,75.0
13,75.5
13,69.5
13,75.0
13,75.5
13,77.0
13,78.5
13,77.5
13,74.0
13,73.5
13,77.0
13,74.0
13,72.0
13,81.5
13,74.5
14,81.5
14,77.5
14,77.5
14,74.5
14,78.0
14,78.5
14,73.5
14,72.0
14,77.5
14,75.5
14,77.5
14,73.0
14,72.5
14,77.0
14,75.5
14,71.0
14,80.0
14,73.0
14,83.5
14,75.0
14,77.5
14,81.0
14,80.5
14,82.0
14,72.5
14,73.5
14,77.0
14,79.0
14,76.5
14,72.0
14,78.0
14,76.0
15,76.0
15,74.5
15,81.0
15,77.5
15,78.0
15,80.0
15,77.5
15,79.0
15,80.0
15,79.5
15,78.5
15,82.5
15,81.0
15,77.5
15,75.5
15,79.5
15,78.5
15,82.5
15,80.5
15,80.0
15,78.0
15,75.5
15,77.0
15,79.0
15,73.0
15,81.0
15,83.5
15,72.5
15,74.0
15,78.5
15,76.0
16,79.5
16,85.5
16,77.0
16,78.5
16,79.5
16,80.0
16,80.5
16,81.0
16,78.5
16,80.5
16,78.5
16,80.5
16,80.0
16,81.0
16,80.5
16,77.5
16,80.0
16,80.5
16,75.0
16,78.0
16,80.5
16,83.5
16,81.0
16,84.0
16,77.5
16,79.5
16,81.0
16,72.5
16,83.0
16,73.5
16,81.5
16,81.0
16,72.5
16,72.5
16,83.0
16,82.0
16,76.5
16,76.5
16,80.5
16,79.0
16,82.0
16,80.0
16,83.5
16,81.5
16,81.0
16,78.0
17,78.5
17,81.5
17,81.0
17,83.0
17,78.5
17,79.0
17,77.0
17,78.5
17,81.0
17,82.0
17,77.5
18,81.0
18,80.5
18,86.0
18,82.5
18,84.5
18,82.0
18,80.5
18,82.0
18,80.0
18,76.5
18,83.5
19,77.5
19,82.5
19,90.0
19,81.5
19,82.0
19,87.0
19,83.5
19,82.5
19,83.5
19,82.5
19,78.5
19,78.0
19,87.5
19,82.5
19,82.5
19,81.5
19,84.5
19,89.5
19,83.5
19,80.0
19,81.5
19,85.0
19,80.0
19,84.5
19,75.0
19,81.5
19,84.0
19,85.5
19,79.5
19,77.5
19,81.0
19,78.5
19,81.5
19,82.0
19,78.0
20,81.0
20,85.5
20,81.0
20,81.0
20,84.5
20,83.0
20,90.0
20,78.0
20,83.5
20,86.5
20,81.0
20,80.0
20,80.5
20,78.0
20,87.0
21,83.0
21,91.0
21,82.0
21,87.0
21,82.5
21,79.0
21,86.0
21,84.5
21,89.5
21,79.0
21,92.5
21,89.0
21,84.0
21,83.0
21,81.5
21,84.5
21,83.5
21,85.5
21,83.0
21,88.5
21,84.5
21,83.0
21,87.0
21,79.0
21,85.0
21,84.0
21,79.5
21,78.5
21,87.0
21,87.0
21,84.5
21,89.0
21,85.5
21,87.5
21,85.0
21,83.0
21,80.5
21,82.0
21,83.0
21,88.0
21,86.5
22,79.5
22,90.5
22,81.0
22,82.5
22,89.0
22,79.5
22,87.0
22,80.5
22,88.5
22,78.0
22,79.5
22,83.0
22,88.0
22,85.0
22,84.0
22,89.0
22,91.5
22,87.0
22,83.0
22,83.5
22,81.0
22,85.0
22,80.0
22,86.5
22,91.0
22,87.0
22,83.5
22,86.5
22,90.0
22,90.0
23,89.5
23,86.5
23,90.0
23,84.0
23,80.0
23,82.5
23,86.0
23,85.0
23,88.5
23,85.5
23,88.0
23,90.5
23,85.5
23,87.5
23,80.0
23,85.5
24,88.5
24,82.0
24,86.5
24,84.5
24,81.0
24,90.0
24,85.5
24,87.5
24,87.0
24,85.5
24,93.0
24,86.5
24,81.5
24,85.5
24,88.5
24,88.5
24,83.0
24,89.5
24,81.0
24,90.5
24,82.5
24,86.0
24,90.0
24,87.0
24,89.5
24,88.5
24,91.0
24,90.0
24,85.0
24,88.5
24,81.5
24,86.5
24,89.5
24,87.0
24,88.0
24,86.0
24,90.5
24,86.5
24,85.0
24,89.5
24,82.0
24,88.5
24,83.5
24,91.0
24,86.0
24,87.0
24,88.0
24,80.5
24,84.5
24,90.0
24,89.5
24,87.5
24,82.5
24,88.5
24,89.0
24,87.0
