,home_team,away_team,home_score,away_score,year
0,Wales,Italy,23,15,2014
1,France,England,26,24,2014
2,Ireland,Scotland,28,6,2014
3,Ireland,Wales,26,3,2014
4,Scotland,England,0,20,2014
5,France,Italy,30,10,2014
6,Wales,France,27,6,2014
7,Italy,Scotland,20,21,2014
8,England,Ireland,13,10,2014
9,Ireland,Italy,46,7,2014
10,Scotland,France,17,19,2014
11,England,Wales,29,18,2014
12,Italy,England,11,52,2014
13,Wales,Scotland,51,3,2014
14,France,Ireland,20,22,2014
15,Wales,England,16,21,2015
16,Italy,Ireland,3,26,2015
17,France,Scotland,15,8,2015
18,England,Italy,47,17,2015
19,Ireland,France,18,11,2015
20,Scotland,Wales,23,26,2015
21,Scotland,Italy,19,22,2015
22,France,Wales,13,20,2015
23,Ireland,England,19,9,2015
24,Wales,Ireland,23,16,2015
25,England,Scotland,25,13,2015
26,Italy,France,0,29,2015
27,Italy,Wales,20,61,2015
28,Scotland,Ireland,10,40,2015
29,England,France,55,35,2015
30,France,Italy,23,21,2016
31,Scotland,England,9,15,2016
32,Ireland,Wales,16,16,2016
33,France,Ireland,10,9,2016
34,Wales,Scotland,27,23,2016
35,Italy,England,9,40,2016
36,Wales,France,19,10,2016
37,Italy,Scotland,20,36,2016
38,England,Ireland,21,10,2016
39,Ireland,Italy,58,15,2016
40,England,Wales,25,21,2016
41,Scotland,France,29,18,2016
42,Wales,Italy,67,14,2016
43,Ireland,Scotland,35,25,2016
44,France,England,21,31,2016
45,Scotland,Ireland,27,22,2017
46,England,France,19,16,2017
47,Italy,Wales,7,33,2017
48,Italy,Ireland,10,63,2017
49,Wales,England,16,21,2017
50,France,Scotland,22,16,2017
51,Scotland,Wales,29,13,2017
52,Ireland,France,19,9,2017
53,England,Italy,36,15,2017
54,Wales,Ireland,22,9,2017
55,Italy,France,18,40,2017
56,England,Scotland,61,21,2017
57,Scotland,Italy,29,0,2017
58,France,Wales,20,18,2017
59,Ireland,England,13,9,2017
