CODENO,NAME,CANCER,CEXP,AFF,ADJ,WEIGHTS
6126,Skye-Lochalsh,9,1.38,16,"[5, 9, 11, 19]","[1, 1, 1, 1]"
6016,Banff-Buchan,39,8.66,16,"[7, 10]","[1, 1]"
6121,Caithness,11,3.04,10,"[6, 12]","[1, 1]"
5601,Berwickshire,9,2.53,24,"[18, 20, 28]","[1, 1, 1]"
6125,Ross-Cromarty,15,4.26,10,"[1, 11, 12, 13, 19]","[1, 1, 1, 1, 1]"
6554,Okney,8,2.4,24,"[3, 8]","[1, 1]"
6019,Moray,26,8.11,10,"[2, 10, 13, 16, 17]","[1, 1, 1, 1, 1]"
6655,Shetland,7,2.3,7,[6],[1]
6123,Lochaber,6,1.98,7,"[1, 11, 17, 19, 23, 29]","[1, 1, 1, 1, 1, 1]"
6017,Gordon,20,6.63,16,"[2, 7, 16, 22]","[1, 1, 1, 1]"
6756,WesternIsles,13,4.4,7,"[1, 5, 9, 12]","[1, 1, 1, 1]"
6127,Sutherland,5,1.79,16,"[3, 5, 11]","[1, 1, 1]"
6124,Nairn,3,1.08,10,"[5, 7, 17, 19]","[1, 1, 1, 1]"
5811,Wigtown,8,3.31,24,"[31, 32, 35]","[1, 1, 1]"
5914,NEFife,17,7.84,7,"[25, 29, 50]","[1, 1, 1]"
6018,Kincardine,9,4.55,16,"[7, 10, 17, 21, 22, 29]","[1, 1, 1, 1, 1, 1]"
6120,Badenoch,2,1.07,10,"[7, 9, 13, 16, 19, 29]","[1, 1, 1, 1, 1, 1]"
5602,Ettrick,7,4.18,7,"[4, 20, 28, 33, 55, 56]","[1, 1, 1, 1, 1, 1]"
6122,Inverness,9,5.53,7,"[1, 5, 9, 13, 17]","[1, 1, 1, 1, 1]"
5603,Roxburgh,7,4.44,10,"[4, 18, 55]","[1, 1, 1]"
6451,Angus,16,10.46,7,"[16, 29, 50]","[1, 1, 1]"
6015,Aberdeen,31,22.67,16,"[10, 16]","[1, 1]"
6332,Argyll-Bute,11,8.77,10,"[9, 29, 34, 36, 37, 39]","[1, 1, 1, 1, 1, 1]"
6346,Clydesdale,7,5.62,7,"[27, 30, 31, 44, 47, 48, 55, 56]","[1, 1, 1, 1, 1, 1, 1, 1]"
5913,Kirkcaldy,19,15.47,1,"[15, 26, 29]","[1, 1, 1]"
5912,Dunfermline,15,12.49,1,"[25, 29, 42, 43]","[1, 1, 1, 1]"
5809,Nithsdale,7,6.04,7,"[24, 31, 32, 55]","[1, 1, 1, 1]"
6228,EastLothian,10,8.96,7,"[4, 18, 33, 45]","[1, 1, 1, 1]"
6453,Perth-Kinross,16,14.37,10,"[9, 15, 16, 17, 21, 23, 25, 26, 34, 43, 50]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
6231,WestLothian,11,10.2,10,"[24, 38, 42, 44, 45, 56]","[1, 1, 1, 1, 1, 1]"
6336,Cumnock-Doon,5,4.75,7,"[14, 24, 27, 32, 35, 46, 47]","[1, 1, 1, 1, 1, 1, 1]"
5810,Stewartry,3,2.88,24,"[14, 27, 31, 35]","[1, 1, 1, 1]"
6230,Midlothian,7,7.03,10,"[18, 28, 45, 56]","[1, 1, 1, 1]"
5707,Stirling,8,8.53,7,"[23, 29, 39, 40, 42, 43, 51, 52, 54]","[1, 1, 1, 1, 1, 1, 1, 1, 1]"
6345,Kyle-Carrick,11,12.32,7,"[14, 31, 32, 37, 46]","[1, 1, 1, 1, 1]"
6343,Inverclyde,9,10.1,0,"[23, 37, 39, 41]","[1, 1, 1, 1]"
6337,Cunninghame,11,12.68,10,"[23, 35, 36, 41, 46]","[1, 1, 1, 1, 1]"
6347,Monklands,8,9.35,1,"[30, 42, 44, 49, 51, 54]","[1, 1, 1, 1, 1, 1]"
6338,Dumbarton,6,7.2,16,"[23, 34, 36, 40, 41]","[1, 1, 1, 1, 1]"
6334,Clydebank,4,5.27,0,"[34, 39, 41, 49, 52]","[1, 1, 1, 1, 1]"
6349,Renfrew,10,18.76,1,"[36, 37, 39, 40, 46, 49, 53]","[1, 1, 1, 1, 1, 1, 1]"
5706,Falkirk,8,15.78,16,"[26, 30, 34, 38, 43, 51]","[1, 1, 1, 1, 1, 1]"
5705,Clackmannan,2,4.32,16,"[26, 29, 34, 42]","[1, 1, 1, 1]"
6348,Motherwell,6,14.63,0,"[24, 30, 38, 48, 49]","[1, 1, 1, 1, 1]"
6229,Edinburgh,19,50.72,1,"[28, 30, 33, 56]","[1, 1, 1, 1]"
6344,Kilmarnock,3,8.2,7,"[31, 35, 37, 41, 47, 53]","[1, 1, 1, 1, 1, 1]"
6339,EastKilbride,2,5.59,1,"[24, 31, 46, 48, 49, 53]","[1, 1, 1, 1, 1, 1]"
6342,Hamilton,3,9.34,1,"[24, 44, 47, 49]","[1, 1, 1, 1]"
6341,Glasgow,28,88.66,0,"[38, 40, 41, 44, 47, 48, 52, 53, 54]","[1, 1, 1, 1, 1, 1, 1, 1, 1]"
6452,Dundee,6,19.62,1,"[15, 21, 29]","[1, 1, 1]"
6335,Cumbernauld,1,3.44,1,"[34, 38, 42, 54]","[1, 1, 1, 1]"
6333,Bearsden,1,3.62,0,"[34, 40, 49, 54]","[1, 1, 1, 1]"
6340,Eastwood,1,5.74,1,"[41, 46, 47, 49]","[1, 1, 1, 1]"
6350,Strathkelvin,1,7.03,1,"[34, 38, 49, 51, 52]","[1, 1, 1, 1, 1]"
5604,Tweeddale,0,4.16,16,"[18, 20, 24, 27, 56]","[1, 1, 1, 1, 1]"
5808,Annandale,0,1.76,10,"[18, 24, 30, 33, 45, 55]","[1, 1, 1, 1, 1, 1]"
